Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
EG11221	b1852	zwf	GLU6PDEHYDROG-RXN	1.1.1.49	NADP+-dependent glucose-6-phosphate dehydrogenase	EV-EXP
G6397	b0767	pgl	6PGLUCONOLACT-RXN	3.1.1.31	6-phosphogluconolactonase	EV-EXP
EG10411	b2029	gnd	RXN-9952	1.1.1.44	6-phosphogluconate dehydrogenase, decarboxylating	EV-EXP
EG11443	b2914	rpiA	RIB5PISOM-RXN	5.3.1.6	ribose-5-phosphate isomerase A	EV-EXP
EG11827	b4090	rpiB	RIB5PISOM-RXN	5.3.1.6	ribose-5-phosphate isomerase	EV-EXP
M004	b3386	rpe	RIBULP3EPIM-RXN	5.1.3.1	ribulose-phosphate 3-epimerase	EV-EXP
EG12100	b2465	tktB	1TRANSKETO-RXN	2.2.1.1	transketolase	EV-EXP
EG11427	b2935	tktA	1TRANSKETO-RXN	2.2.1.1	transketolase	EV-EXP
EG11797	b2464	talA	TRANSALDOL-RXN	2.2.1.2	transaldolase	EV-COMP
EG11556	b0008	talB	TRANSALDOL-RXN	2.2.1.2	transaldolase	EV-EXP
EG11427	b2935	tktA	2TRANSKETO-RXN	2.2.1.1	transketolase	EV-EXP
EG12100	b2465	tktB	2TRANSKETO-RXN	2.2.1.1	transketolase	EV-EXP
