Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
EG10702	b4025	pgi	PGLUCISOM-RXN	5.3.1.9	glucose-6-phosphate isomerase	EV-EXP
G7463	b2843	kduI	PGLUCISOM-RXN	5.3.1.9	glucose-6-phosphate isomerase	EV-EXP
EG10699	b3916	pfkA	6PFRUCTPHOS-RXN	2.7.1.11	6-phosphofructokinase	EV-EXP
EG10700	b1723	pfkB	6PFRUCTPHOS-RXN	2.7.1.11	6-phosphofructokinase	EV-EXP
EG11245	b2930	yggF	F16BDEPHOS-RXN	3.1.3.11	fructose-1,6-bisphosphatase	EV-EXP
EG11239	b0766	ybhA	F16BDEPHOS-RXN	3.1.3.11	fructose 1,6-bisphosphatase	EV-EXP
EG11517	b3925	glpX	F16BDEPHOS-RXN	3.1.3.11	fructose-1,6-bisphosphatase	EV-EXP
EG10283	b4232	fbp	F16BDEPHOS-RXN	3.1.3.11	fructose-1,6-bisphosphatase	EV-EXP
G7129	b2097	fbaB	F16ALDOLASE-RXN	4.1.2.13	fructose-bisphosphate aldolase	EV-EXP
EG10282	b2925	fbaA	F16ALDOLASE-RXN	4.1.2.13	fructose bisphosphate aldolase	EV-EXP
EG11015	b3919	tpiA	TRIOSEPISOMERIZATION-RXN	5.3.1.1	triose-phosphate isomerase	EV-EXP
EG10367	b1779	gapA	GAPOXNPHOSPHN-RXN	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase	EV-EXP
EG10703	b2926	pgk	PHOSGLYPHOS-RXN	2.7.2.3	phosphoglycerate kinase	EV-EXP
EG11699	b0755	gpmA	RXN-15513	5.4.2.11	phosphoglycerate mutase	EV-EXP
EG12296	b3612	gpmM	3PGAREARR-RXN	5.4.2.12	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	EV-EXP
EG10258	b2779	eno	2PGADEHYDRAT-RXN	4.2.1.11	enolase	EV-EXP
EG10804	b1676	pykF	PEPDEPHOS-RXN	2.7.1.40	pyruvate kinase	EV-EXP
EG10803	b1854	pykA	PEPDEPHOS-RXN	2.7.1.40	pyruvate kinase	EV-EXP
EG10759	b1702	ppsA	PEPSYNTH-RXN	2.7.9.2	phosphoenolpyruvate synthetase	EV-EXP
